County,Split_Ratio_DC
BANDERA,0.00155
BEXAR,0.02459
BRAZOS,0.00000
CALDWELL,0.00372
CAMERON,0.00233
CARSON,0.00919
COLLIN,0.01724
COMAL,0.04654
CONCHO,0.01939
DALLAS,0.12454
DAWSON,0.01551
DEWITT,0.00000
ECTOR,0.00597
FALLS,0.00776
FRIO,0.00504
HALL,0.07756
HARRIS,0.04897
HASKELL,0.02715
HIDALGO,0.00000
HILL,0.00000
HOWARD,0.00000
JIM WELLS,0.00194
MCLENNAN,0.01939
MILAM,0.00000
MONTGOMERY,0.02114
NAVARRO,0.04576
NOLAN,0.02715
NUECES,0.00776
SCURRY,0.07756
SMITH,0.00000
SOMERVELL,0.19391
TARRANT,0.02552
TAYLOR,0.03878
TRAVIS,0.03374
UPTON,0.01163
WARD,0.03296
WEBB,0.00000
WILBARGER,0.02571